# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
1.908063948206686e-11  3.743079611573386e-05  2.549163436787319e-16
1.955895349323768e-11  3.776304065672420e-05  2.636260125284883e-16
2.004925789359317e-11  3.809823427847192e-05  2.726332626567838e-16
2.055185325854906e-11  3.843640315759345e-05  2.819482614556112e-16
2.106704769835429e-11  3.877757370296386e-05  2.915815237039407e-16
2.159515704697426e-11  3.912177255860350e-05  3.015439234368089e-16
2.213650505570899e-11  3.946902660389995e-05  3.118467062199359e-16
2.269142359166523e-11  3.981936295760491e-05  3.225015018437328e-16
2.326025284120400e-11  4.017280897938846e-05  3.335203374510235e-16
2.384334151848760e-11  4.052939227094932e-05  3.449156511132906e-16
2.444104707925470e-11  4.088914067956750e-05  3.567003058707781e-16
2.505373593995450e-11  4.125208229943667e-05  3.688876042523060e-16
2.568178370237446e-11  4.161824547477266e-05  3.814913032911826e-16
2.632557538389789e-11  4.198765880025768e-05  3.945256300541428e-16
2.698550565353516e-11  4.236035112525904e-05  4.080052977008892e-16
2.766197907387018e-11  4.273635155471744e-05  4.219455220923037e-16
2.835541034907347e-11  4.311568945269961e-05  4.363620389661393e-16
2.906622457913148e-11  4.349839444262038e-05  4.512711216995298e-16
2.979485752044893e-11  4.388449641212766e-05  4.666895996783859e-16
3.054175585298442e-11  4.427402551354653e-05  4.826348772944268e-16
3.130737745408279e-11  4.466701216676583e-05  4.991249535912806e-16
3.209219167917063e-11  4.506348706168062e-05  5.161784425818025e-16
3.289667964949017e-11  4.546348116107879e-05  5.338145942596112e-16
3.372133454704405e-11  4.586702570197332e-05  5.520533163284757e-16
3.456666191693589e-11  4.627415219915498e-05  5.709151966741731e-16
3.543317997728768e-11  4.668489244674667e-05  5.904215266040874e-16
3.632141993692860e-11  4.709927852108997e-05  6.105943248808826e-16
3.723192632104520e-11  4.751734278385378e-05  6.314563625772749e-16
3.816525730499745e-11  4.793911788314453e-05  6.530311887800669e-16
3.912198505650042e-11  4.836463675728098e-05  6.753431571723498e-16
4.010269608638633e-11  4.879393263701459e-05  6.984174535239923e-16
4.110799160815690e-11  4.922703904775005e-05  7.222801241213292e-16
